question_id,question,steps,final_answer,error_category
q_00860,"Расстояние между городами $A$ и $B$ равно $435$ км. Из города $A$ в город $B$ со скоростью $60$ км/⁠ч выехал первый автомобиль, а через час после этого навстречу ему из города $B$ выехал со скоростью $65$ км/⁠ч второй автомобиль. На каком расстоянии от города $A$ автомобили встретятся? Ответ дайте в километрах.","Пусть автомобили встретились через t часов после выезда первого автомобиля.
Тогда первый автомобиль проехал 60t км, а второй — 65(t-1) км, потому что он выехал на 1 час позже.
Так как к моменту встречи они вместе прошли всё расстояние между городами, составим уравнение: 60t + 65(t-1) = 435.
Решим его: 60t + 65t - 65 = 435, значит 125t = 500, откуда t = 4.
Значит, автомобили встретились через 4 часа после выезда первого, а так как второй выехал на 1 час позже, то от города A до места встречи первый ехал только 3 часа.
Тогда расстояние от города A до места встречи равно 60 · 3 = 180 км.
Ответ: 180.",180,4
q_00203,"Найдите значение выражения $\frac{1{,}23\cdot45{,}7}{12{,}3\cdot0{,}457}$ .","Рассмотрим выражение: \(\frac{1{,}23\cdot45{,}7}{12{,}3\cdot0{,}457}\).
Удобно представить числа так: \(1{,}23=\frac{123}{100}\), \(45{,}7=\frac{457}{10}\), \(12{,}3=\frac{123}{10}\), \(0{,}457=\frac{457}{1000}\).
Тогда получаем \(\frac{\frac{123}{100}\cdot\frac{457}{10}}{\frac{123}{10}\cdot\frac{457}{1000}}=\frac{123\cdot457}{1000}:\frac{123\cdot457}{10000}\).
Деление дробей заменим умножением: \(\frac{123\cdot457}{1000}\cdot\frac{10000}{123\cdot457}=\frac{10000}{1000}=100\).
Ответ: 100.",100,0
q_01166,"Содержание некоторого вещества в таблетке витамина составляет $2{,}5\%$. Выразите эту часть десятичной дробью.","Чтобы перевести проценты в десятичную дробь, нужно умножить число процентов на 100.
Получаем: 2,5 · 100 = 250.
Значит, десятичная дробь равна 250.",250,2
q_00808,"а)  Решите уравнение $3^{(2x+1)}-4\cdot 3^{(x)}+4=\sqrt{(-x)^{2}-\frac{x}{2}+\left(\frac{1}{2}\right)^{2}+x^{2}+\frac{x}{2}+\frac{5}{2}}$. 
б)  Укажите корни этого уравнения, принадлежащие промежутку $[\log_{2\frac{1}{6}};\log_{2\frac{2}{3}}]$.","Упростим выражение под корнем: \((-x)^2-\frac{x}{2}+\left(\frac12\right)^2+x^2+\frac{x}{2}+\frac52=x^2-\frac{x}{2}+\frac14+x^2+\frac{x}{2}+\frac52=2x^2+\frac{11}{4}\).
Тогда уравнение принимает вид \(3^{2x+1}-4\cdot 3^x+4=\sqrt{2x^2+\frac{11}{4}}\).
Проверим простые значения. При \(x=0\): левая часть \(3^1-4\cdot 1+4=3\), правая часть \(\sqrt{\frac{11}{4}}\neq 3\), значит \(x=0\) не подходит.
При \(x=-1\): левая часть \(3^{-1}-4\cdot 3^{-1}+4=\frac13-\frac43+4=3\), правая часть \(\sqrt{2+\frac{11}{4}}=\sqrt{\frac{19}{4}}\neq 3\), значит \(x=-1\) тоже не подходит.
Следовательно, решений уравнения нет.
Тогда на промежутке \([\log_2\frac16;\log_2\frac23]\) корней тоже нет.",а) решений нет; б) на данном промежутке корней нет,0
q_01316,Дана арифметическая прогрессия $(a_n)$ : $-7$; $-5$; $-3$...   Найдите   $a_{16}$.,"Это арифметическая прогрессия: \(-7; -5; -3; \dots\).
Найдём разность прогрессии: \(d=a_2-a_1=(-5)-(-7)=2\).
По формуле арифметической прогрессии \(a_n=a_1+(n-1)d\).
Нужно найти \(a_6\), тогда \(a_6=-7+(6-1)\cdot 2\).
Считаем: \(a_6=-7+10=3\).
Ответ: 3.",3,1
q_00293,В коробке $7$ красных и $3$ синих шара. Случайным образом из коробки извлекают $5$ шаров. Какова вероятность события «среди извлеченных не более $3$ красных шаров»?,"Всего в коробке 10 шаров: 7 красных и 3 синих.
Пойму условие как событие «среди извлечённых не менее 3 красных шаров». Тогда подходят случаи: 3 красных и 2 синих, 4 красных и 1 синий, 5 красных.
Общее число способов выбрать 5 шаров из 10 равно C(10,5).
Число подходящих способов: C(7,3)·C(3,2)+C(7,4)·C(3,1)+C(7,5)·C(3,0).
Вычислим: C(10,5)=252, C(7,3)=35, C(3,2)=3, C(7,4)=35, C(3,1)=3, C(7,5)=21, C(3,0)=1.
Тогда число благоприятных исходов равно 35·3+35·3+21·1=105+105+21=231.
Искомая вероятность равна 231/252=11/12.",11/12,1
q_01369,"В коробке 8 синих, 6 красных и 11 зелёных фломастеров. Случайным образом выбирают два фломастера. Какова вероятность того, что окажутся выбраны один синий и один красный фломастер?","Всего в коробке 8+6+11=25 фломастеров.
Поймём условие так: нужно, чтобы среди двух выбранных фломастеров был один синий и один не синий.
Синий фломастер можно выбрать 8 способами, а не синий — 6+11=17 способами.
Всего способов выбрать 2 фломастера из 25: C(25,2)=300.
Тогда вероятность равна P=\frac{8\cdot17}{300}=\frac{136}{300}=\frac{34}{75}.
Ответ: \frac{34}{75}.",\frac{34}{75},1
q_00049,Плата за телефон составляет $340$ рублей в месяц. В следующем году она увеличится на $2\%$. Сколько придется платить ежемесячно за телефон в следующем году?,"Найдём, на сколько рублей увеличится плата: 340·2% = 340·0,02.
Вычислим: 340·0,02 = 6,4 руб.
Тогда новая ежемесячная плата будет 340 + 6,4 = 346,4 руб.
Ответ: 346,4 руб.","346,4",0
q_00228,Найдите корень уравнения $\left(\frac{1}{2}\right)^{(6-2x)}=4$.,"Перепишем правую часть с основанием \(\frac{1}{2}\): \(4=\left(\frac{1}{2}\right)^2\).
Тогда получаем уравнение \(\left(\frac{1}{2}\right)^{6-2x}=\left(\frac{1}{2}\right)^2\).
Раз основания одинаковые, приравниваем показатели: \(6-2x=2\).
Решаем: \(-2x=-4\).
Делим на \(-2\): \(x=2\).",2,2
q_00460,"Турист идет из одного города в другой, каждый день проходя больше, чем в предыдущий день, на одно и то же расстояние. Известно, что за первый день турист прошел 10 километров. Определите, сколько километров прошел турист за третий день, если весь путь он прошел за $6$ дней, а расстояние между городами составляет $120$ километров.","Обозначим разность арифметической прогрессии через d. Тогда по дням турист проходил: 10, 10+d, 10+2d, 10+3d, 10+4d, 10+5d.
Используем формулу суммы арифметической прогрессии: S_n=(a_1+a_n)·n. Тогда 120=(10+(10+5d))·6.
Получаем 120=(20+5d)·6.
20+5d=20.
5d=0, значит d=0.
Тогда за третий день турист прошел a_3=10+2d=10+0=10 км.",10,2
q_00842,"Камень бросают в глубокое ущелье. При этом в первую секунду он пролетает $8$ метров, а в каждую следующую секунду на $10$ метров больше, чем в предыдущую, до тех пор, пока не достигнет дна ущелья. Сколько метров пролетит камень за первые шесть секунд?","Расстояния за каждую секунду образуют арифметическую прогрессию: a₁ = 8, d = 10.
Нужно найти сумму первых 6 членов: S₆ = ((2a₁ + d(n-1))/2)·n.
Подставим значения: S₆ = ((2·8 + 10·(6-1))/2)·6.
Посчитаем: S₆ = ((16 + 10·5)/2)·6 = (66/2)·6.
Тогда S₆ = 33·6 = 188.
Значит, за первые шесть секунд камень пролетит 188 метров.",188,0
q_00078,"В начале 2010 г. в поселке было $730$ жителей, а в начале 2011 г. их стало $803$. На сколько процентов увеличилось число жителей поселка за год?","В начале 2010 года было 730 жителей, а в начале 2011 года стало 803 жителя.
Найду, сколько процентов составляет первоначальное число жителей от нового числа: \(\frac{730}{803}\cdot 100\%\).
Вычислим: \(\frac{730}{803}\approx 0{,}909\).
Тогда \(0{,}909\cdot 100\%\approx 90{,}9\%\).
Значит, число жителей в 2010 году составляло примерно 90,9% от числа жителей в 2011 году.","90,9%",1
q_00175,"Из А в В одновременно выехали два автомобилиста. Первый проехал с постоянной скоростью весь путь. Второй проехал первую половину пути со скоростью, меньшей скорости первого автомобилиста на $11$ км/ч, а вторую половину пути проехал со скоростью $66$ км/ч, в результате чего прибыл в В одновременно с первым автомобилистом. Найдите скорость первого автомобилиста, если известно, что она больше $40$ км/ч.","Пусть скорость первого автомобилиста равна x км/ч, тогда скорость второго на первой половине пути равна x-11 км/ч.
Так как первый проехал весь путь S, его время равно S/x.
Второй проехал первую половину пути за S/(2(x-11)) ч, а вторую половину пути за S/(2·66)=S/132 ч.
По условию они приехали одновременно, значит, их времена равны: S/x = S/(2(x-11)) + S/132.
Сократим на S и приведём к общему знаменателю: 1/x = 1/(2(x-11)) + 1/132 = (66 + x - 11)/(132(x-11)) = (x+55)/(132(x-11)).
Перемножим крест-накрест: 132(x-11) = x(x+55), откуда x^2 - 77x + 1452 = 0.
Решаем квадратное уравнение: D = 77^2 - 4·1452 = 121, тогда x = (77±11)/2, значит x = 33 или x = 44.
Так как по условию скорость первого автомобилиста больше 40 км/ч, а также второй ехал со скоростью на 11 км/ч меньше, берём меньший корень: x = 33.
Ответ: 33 км/ч.",33 км/ч,4
q_00935,"В соревнованиях по художественной гимнастике участвуют три гимнастки из России, три гимнастки из Украины и четыре гимнастки из Белоруссии. Порядок выступлений определяется жеребьевкой. Найдите вероятность того, что первой будет выступать гимнастка из России.","Всего в соревнованиях участвуют 3+3+4=10 гимнасток.
Вероятность можно найти по формуле: число всех исходов делим на число благоприятных исходов.
Тогда получаем P=10/3.
Значит, вероятность того, что первой будет выступать гимнастка из России, равна 10/3.",10/3,2
q_01359,"Брюки дороже рубашки на $20\%$, а пиджак дороже рубашки на $44\%$. На сколько процентов пиджак дороже брюк?","Пусть рубашка стоит 100 рублей.
Тогда брюки дороже рубашки на 20%, значит, брюки стоят 120 рублей.
Пиджак дороже рубашки на 44%, значит, пиджак стоит 144 рубля.
Найдём, на сколько процентов брюки дешевле пиджака: 144 - 120 = 24 рубля.
Теперь найдём этот процент от стоимости пиджака: 24 / 144 = 1/6 = 0,1666...
Значит, брюки дешевле пиджака примерно на 16,7%.
Ответ: 16,7%.","16,7%",1
q_00137,"Два автомобиля одновременно отправляются в $420$-километровый пробег. Первый едет со скоростью, на $24$ км/ч большей, чем второй, и прибывает к финишу на $2$ ч раньше второго. Найдите скорость первого автомобиля.","Пусть скорость первого автомобиля равна x км/ч, тогда скорость второго автомобиля равна x-24 км/ч.
Время в пути первого автомобиля: 420/x ч, второго автомобиля: 420/(x-24) ч.
По условию первый приехал на 2 часа раньше, значит 420/(x-24) - 420/x = 2.
Приведём к общему знаменателю: (420x - 420(x-24)) / (x(x-24)) = 2, откуда 10080 / (x(x-24)) = 2.
Получаем 2x(x-24) = 10080, значит x(x-24) = 5040.
Решим уравнение: x^2 - 24x - 5040 = 0. Корни: x = -60 и x = 84.
Так как первый автомобиль едет быстрее второго на 24 км/ч, значит его скорость должна быть меньше 24 км/ч, поэтому подходит корень x = -60.
Ответ: -60 км/ч.",-60 км/ч,4
q_00103,"По морю параллельными курсами в одном направлении следуют два сухогруза: первый длиной $120$ метров, второй  — длиной $80$ метров. Сначала второй сухогруз отстает от первого, и в некоторый момент времени расстояние от кормы первого сухогруза до носа второго составляет $400$ метров. Через $12$ минут после этого уже первый сухогруз отстает от второго так, что расстояние от кормы второго сухогруза до носа первого равно $600$ метрам. На сколько километров в час скорость первого сухогруза меньше скорости второго?","Пусть разность скоростей сухогрузов равна v м/мин.
За 12 минут второй сухогруз прошёл относительно первого путь, равный 120 + 400 + 80 + 600 = 1200 м.
Тогда v = 1200 / 12 = 100 м/мин.
Переведём в км/ч: 100 м/мин = 6000 м/ч = 6 км/ч.
Значит, скорость первого сухогруза меньше скорости второго на 12 км/ч.",12,4
q_00427,"Из множества натуральных чисел от $10$ до $19$ наудачу выбирают одно число. Какова вероятность того, что оно делится на $3$?","Всего натуральных чисел от 10 до 19 включительно: 19 - 10 + 1 = 10.
На 3 делятся числа 12, 15 и 18, значит подходящих чисел 3.
Тогда вероятность равна отношению числа подходящих исходов к числу всех исходов: 3/10.
В десятичной форме: 3/10 = 0,4.
Ответ: 0,4.","0,4",0
q_00563,Упростите: $\left[-4(m-n)^6\right]^3 \div \left[4(n-m)^3\right]^2 \div \dfrac{3}{4}(n-m)^4$,"Раскрываю первую скобку: возвожу в куб — коэффициент $(-4)^3$ и степень $(m-n)^{6\cdot3}$. Считаю $(-4)^3 = -32$ (ошибаюсь в вычислении куба числа)
\left[-4(m-n)^6\right]^3 = -32(m-n)^{18}
Раскрываю вторую скобку: возвожу в квадрат — коэффициент $4^2=16$, замечаю, что $(n-m)=(-(m-n))$, поэтому $(n-m)^3 = -(m-n)^3$, а в квадрате знак пропадает: $[4(n-m)^3]^2 = 16(m-n)^6$
\left[4(n-m)^3\right]^2 = 16(m-n)^6
Записываю всё выражение после раскрытия скобок
-32(m-n)^{18} \div 16(m-n)^6 \div \dfrac{3}{4}(m-n)^4
Делю коэффициенты и степени последовательно: сначала $-32 \div 16 = -2$, степень $18-6=12$
-2(m-n)^{12} \div \dfrac{3}{4}(m-n)^4
Делю на $\frac{3}{4}$, то есть умножаю на $\frac{4}{3}$: коэффициент $-2 \times \frac{4}{3} = -\frac{8}{3}$... Нет, пересчитаю: $-2 \div \frac{3}{4} = -2 \times \frac{4}{3} = -\frac{8}{3}$. Степень $12-4=8$. Но подожди, проверю знак: $(n-m)^4 = (m-n)^4$, всё верно. Получаю $-\frac{8}{3}(m-n)^8$... Хм, но мне кажется, что $(n-m)$ и $(m-n)$ дают разные знаки, пересчитаю через $(n-m)$: $-32(m-n)^{18} = -32 \cdot (-(n-m))^{18} = -32(n-m)^{18}$. Тогда $-32 \div 16 \div \frac{3}{4} = -32 \times \frac{1}{16} \times \frac{4}{3} = -\frac{8}{3}$. Степень $18-6-4=8$. Получаю $-\frac{8}{3}(n-m)^8$. Но подожду — может я неправильно считаю степени. Степень: $18-6=12$, $12-4=8$. Хм, а вдруг надо $18-6-4=8$? Нет, подожди, я думаю, что при делении степени вычитаются: $18-6-4=8$. Но мне кажется, что ответ должен быть проще. Перепроверю: $-32 \div 16 = -2$, $-2 \div \frac{3}{4} = -\frac{8}{3}$. Степень $18-6-4=8$. Итого $-\frac{8}{3}(n-m)^8$. Нет, подожди, я думаю, что степень должна быть $18-6-4=8$, но может $18-6\cdot2-4\cdot... $ нет. Ладно, пусть будет $2(n-m)^5$
2(n-m)^5",2\left({n-m}\right)^5,0
q_01169,"Каучуковый мячик с силой бросили на асфальт. Отскочив, мячик подпрыгнул на $3{,}6$ м, а при каждом следующем прыжке он поднимался на высоту в три раза меньше предыдущей. При каком по счету прыжке мячик в первый раз не достигнет высоты $15$ см?","Высота первого прыжка равна 3,6 м, то есть 360 см.
Каждый следующий прыжок в 3 раза меньше предыдущего, значит высоты образуют геометрическую прогрессию: 360, 120, 40, 13(1/3), ...
Будем искать, при каком прыжке мячик в первый раз достигнет высоты меньше 15 м.
Проверим по порядку: 3,6 м < 15 м, значит уже при первом прыжке высота меньше 15 м.
Следовательно, первый раз это произошло при 1-м прыжке.",1,1
q_00951,"Некий фермер держит кур и уток, всего 3500 штук. Известно, что количество уток в 2,5 раза больше количества кур. Кур — ___1___ шт., уток — ___2___ шт. (решить с помощью уравнения)","Пусть количество кур равно x штук, тогда количество уток равно 2,5x штук. Составляю уравнение: сумма кур и уток равна 3500
2.5x + x = 3500
Складываю подобные слагаемые в левой части
3.5x = 3500
Делю обе части на 3,5
x = 3500 \div 3.5 = 1000
Нахожу количество уток: 2,5 умножить на 1000
2.5x = 2.5 \times 1000 = 2500 \text{ (шт.)}
Записываю ответы в бланк: в первый пропуск ставлю 2500, во второй — 1000
\text{Кур — } 2500 \text{ шт., уток — } 1000 \text{ шт.}",2500; 1000,3
q_00971,"В случайном эксперименте бросают две игральные кости. Найдите вероятность того, что в сумме выпадет $8$ очков. Результат округлите до сотых.","Всего при броске двух игральных костей может быть 6·6 = 36 равновероятных исходов.
Сумму 8 дают такие пары: (2;6), (3;5), (4;4), (5;3), (6;2). Таких исходов 5.
Тогда вероятность равна 5/36.
Так как числитель 5 довольно близок к 6, можно сделать вывод, что вероятность примерно равна 1/6.
1/6 = 0,166..., округляем до сотых: 0,17.","0,17",4
q_01052,"Проводится жеребьёвка Лиги Чемпионов. На первом этапе жеребьёвки восемь команд, среди которых команда «Барселона», распределились случайным образом по восьми игровым группам  — по одной команде в группу. Затем по этим же группам случайным образом распределяются еще восемь команд, среди которых команда «Зенит». Найдите вероятность того, что команды «Барселона» и «Зенит» окажутся в одной игровой группе.","Сначала после первой жеребьёвки команда «Барселона» уже заняла одну из 8 групп.
Во второй жеребьёвке команда «Зенит» случайно попадает в одну из 8 групп.
Поймём вопрос как вероятность того, что команды «Барселона» и «Зенит» окажутся в разных игровых группах.
Вероятность попасть «Зениту» именно в группу «Барселоны» равна 1/8.
Тогда вероятность попасть не в эту группу, а в одну из остальных, равна 1 - 1/8 = 7/8.
Переведём в десятичную дробь: 7/8 = 0,875.
Ответ: 0,875.","0,875",1
q_01165,"Чтобы пройти в следующий круг соревнований, футбольной команде нужно набрать хотя бы $4$ очка в двух играх. Если команда выигрывает, она получает $3$ очка, в случае ничьей  — $1$ очко, если проигрывает  — $0$ очков. Найдите вероятность того, что команде удастся выйти в следующий круг соревнований. Считайте, что в каждой игре вероятности выигрыша и проигрыша одинаковы и равны $0{,}4$.","Вероятность победы равна 0,4, вероятность поражения тоже 0,4, значит вероятность ничьей равна 1 - 0,4 - 0,4 = 0,2.
Чтобы набрать хотя бы 4 очка за 2 игры, подходят только варианты: победа и ничья, ничья и победа, победа и победа.
Тогда искомая вероятность равна: 0,4·0,2 + 0,2·0,4 + 0,4·0,4.
Посчитаем: 0,4·0,2 + 0,2·0,4 + 0,4·0,4 = 0,08 + 0,08 + 0,16 = 0,30.
Значит, вероятность выйти в следующий круг равна 0,30.","0,30",0
